Instrument Id,Instrument Type,Currency,Face Value,Book Value,Market Value,Instrument Purchase Date,Instrument Issue Date,Instrument Maturity Date,Next Interest Payment Amount,Issuer Counterparty Type,Risk Weight As Per C41,Rating Agency,Credit Rating,Pledged to other institute,Encumbered End Date,Pledged amount used for liquidity,Accrued Interest,Provision,Next Coupon Date
B0747,Trái phiếu,VND,"500,000,000,000","493,813,798,768","384,855,000,000",1/14/2021,1/14/2021,1/14/2041,,Kho Bạc Nhà nước,0%,,,NA,,," 9,972,602,740 ", -   ,"Saturday, January 14, 2023"
B0757,Trái phiếu,VND,"65,000,000,000","66,661,176,807","49,602,150,000",6/9/2021,10/15/2020,10/15/2050,,Kho Bạc Nhà nước,0%,,,NA,,," 2,000,219,178 ", -   ,"Saturday, October 15, 2022"
B0758,Trái phiếu,VND,"200,000,000,000","210,000,668,146","163,302,000,000",6/9/2021,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,NA,,," 759,452,055 ", -   ,"Sunday, August 20, 2023"
B0759,Trái phiếu,VND,"200,000,000,000","201,822,688,764","147,598,000,000",6/10/2021,1/14/2021,1/14/2051,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/14/2051,"200,000,000,000"," 4,416,438,356 ", -   ,"Saturday, January 14, 2023"
B0760,Trái phiếu,VND,"100,000,000,000","101,070,861,026","84,223,000,000",6/22/2021,5/6/2021,5/6/2031,,Kho Bạc Nhà nước,0%,,,NA,,," 932,602,740 ", -   ,"Saturday, May 6, 2023"
B0761,Trái phiếu,VND,"100,000,000,000","100,896,740,771","78,466,000,000",6/22/2021,4/15/2021,4/15/2036,,Kho Bạc Nhà nước,0%,,,Ngân hàng,4/15/2036,"100,000,000,000"," 1,157,534,247 ", -   ,"Saturday, April 15, 2023"
B0762,Trái phiếu,VND,"200,000,000,000","210,006,531,240","163,302,000,000",6/23/2021,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,8/20/2040,"200,000,000,000"," 759,452,055 ", -   ,"Sunday, August 20, 2023"
B0763,Trái phiếu,VND,"200,000,000,000","196,945,810,021","153,942,000,000",6/23/2021,1/14/2021,1/14/2041,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/14/2041,"200,000,000,000"," 3,989,041,096 ", -   ,"Saturday, January 14, 2023"
B0765,Trái phiếu,VND,"100,000,000,000","108,960,304,810","87,845,000,000",6/25/2021,1/9/2020,1/9/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/9/2040,"100,000,000,000"," 2,613,698,630 ", -   ,"Monday, January 9, 2023"
B0766,Trái phiếu,VND,"100,000,000,000","100,908,287,456","84,540,000,000",6/28/2021,4/8/2021,4/8/2031,,Kho Bạc Nhà nước,0%,,,Ngân hàng,4/8/2031,"100,000,000,000"," 1,109,041,096 ", -   ,"Saturday, April 8, 2023"
B0767,Trái phiếu,VND,"100,000,000,000","100,670,754,882","78,476,000,000",6/28/2021,4/15/2021,4/15/2036,,Kho Bạc Nhà nước,0%,,,Ngân hàng,4/15/2036,"100,000,000,000"," 1,157,534,247 ", -   ,"Saturday, April 15, 2023"
B0768,Trái phiếu,VND,"100,000,000,000","105,144,915,546","81,651,000,000",6/28/2021,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,8/20/2040,"50,000,000,000"," 379,726,027 ", -   ,"Sunday, August 20, 2023"
B0769,Trái phiếu,VND,"100,000,000,000","100,217,475,149","84,751,000,000",6/29/2021,1/14/2021,1/14/2031,,Kho Bạc Nhà nước,0%,,,NA,,," 1,567,123,288 ", -   ,"Saturday, January 14, 2023"
B0770,Trái phiếu,VND,"100,000,000,000","100,984,093,542","84,540,000,000",6/29/2021,4/8/2021,4/8/2031,,Kho Bạc Nhà nước,0%,,,Ngân hàng,4/8/2031,"100,000,000,000"," 1,109,041,096 ", -   ,"Saturday, April 8, 2023"
B0771,Trái phiếu,VND,"100,000,000,000","102,958,881,580","82,030,000,000",6/29/2021,11/26/2020,11/26/2035,,Kho Bạc Nhà nước,0%,,,Ngân hàng,11/26/2035,"100,000,000,000"," 2,285,753,425 ", -   ,"Saturday, November 26, 2022"
B0785,Trái phiếu,VND,"100,000,000,000","99,991,610,357","76,971,000,000",9/30/2021,1/14/2021,1/14/2041,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/14/2041,"100,000,000,000"," 1,994,520,548 ", -   ,"Saturday, January 14, 2023"
B0786,Trái phiếu,VND,"100,000,000,000","99,852,752,081","76,971,000,000",10/5/2021,1/14/2021,1/14/2041,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/14/2041,"100,000,000,000"," 1,994,520,548 ", -   ,"Saturday, January 14, 2023"
B0787,Trái phiếu,VND,"100,000,000,000","106,725,473,882","80,812,000,000",10/5/2021,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,8/20/2040,"100,000,000,000"," 379,726,027 ", -   ,"Sunday, August 20, 2023"
B0788,Trái phiếu,VND,"100,000,000,000","106,584,752,254","81,651,000,000",10/20/2021,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,8/20/2040,"100,000,000,000"," 379,726,027 ", -   ,"Sunday, August 20, 2023"
B0792,Trái phiếu,VND,"100,000,000,000","99,714,244,974","76,971,000,000",11/2/2021,1/14/2021,1/14/2041,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/14/2041,"100,000,000,000"," 1,994,520,548 ", -   ,"Saturday, January 14, 2023"
B0793,Trái phiếu,VND,"50,000,000,000","49,787,588,764","38,485,500,000",11/2/2021,1/14/2021,1/14/2041,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/14/2041,"50,000,000,000"," 997,260,274 ", -   ,"Saturday, January 14, 2023"
B0371,Trái phiếu,VND,"4,000,000,000","3,993,755,433","4,450,120,000",2/14/2017,2/14/2017,2/14/2027,,Ngân hàng Phát triển,0%,,,NA,,," 165,632,877 ", -   ,"Tuesday, February 14, 2023"
B0372,Trái phiếu,VND,"6,000,000,000","5,990,139,660","7,409,400,000",2/14/2017,2/14/2017,2/14/2032,,Ngân hàng Phát triển,0%,,,NHNN-SGD,2/14/2032,"6,000,000,000"," 286,093,151 ", -   ,"Tuesday, February 14, 2023"
B0438,Trái phiếu,VND,"100,000,000,000","102,634,903,892","109,093,000,000",9/29/2017,5/16/2017,5/16/2027,,Ngân hàng Chính sách xã hội,0%,,,Ngân hàng,5/16/2027,"100,000,000,000"," 2,419,726,027 ", -   ,"Tuesday, May 16, 2023"
B0439,Trái phiếu,VND,"100,000,000,000","102,294,684,870","108,553,000,000",9/29/2017,5/23/2017,5/23/2027,,Ngân hàng Chính sách xã hội,0%,,,Ngân hàng,5/23/2027,"100,000,000,000"," 2,261,095,890 ", -   ,"Tuesday, May 23, 2023"
B0718,Trái phiếu,VND,"100,000,000,000","115,822,166,724","111,655,000,000",12/18/2020,3/14/2017,3/14/2027,,Ngân hàng Chính sách xã hội,0%,,,NA,,," 3,579,452,055 ", -   ,"Tuesday, March 14, 2023"
B0719,Trái phiếu,VND,"100,000,000,000","114,829,314,580","107,571,000,000",12/18/2020,5/30/2017,5/30/2027,,Ngân hàng Chính sách xã hội,0%,,,NA,,," 2,072,328,767 ", -   ,"Tuesday, May 30, 2023"
B0720,Trái phiếu,VND,"100,000,000,000","135,836,473,097","122,207,000,000",12/18/2020,3/14/2017,3/14/2032,,Ngân hàng Chính sách xã hội,0%,,,NA,,," 4,130,136,986 ", -   ,"Tuesday, March 14, 2023"
B0721,Trái phiếu,VND,"100,000,000,000","133,233,302,197","117,859,000,000",12/18/2020,5/23/2017,5/23/2032,,Ngân hàng Chính sách xã hội,0%,,,NA,,," 2,548,219,178 ", -   ,"Tuesday, May 23, 2023"
B0728,Trái phiếu,VND,"100,000,000,000","131,682,405,852","116,174,000,000",12/25/2020,5/30/2017,5/30/2032,,Ngân hàng Chính sách xã hội,0%,,,NA,,," 2,344,109,589 ", -   ,"Tuesday, May 30, 2023"
B0729,Trái phiếu,VND,"100,000,000,000","127,056,303,645","114,357,000,000",12/25/2020,11/7/2017,11/7/2032,,Ngân hàng Chính sách xã hội,0%,,,NA,,," 5,571,506,849 ", -   ,"Monday, November 7, 2022"
B0730,Trái phiếu,VND,"50,000,000,000","57,979,340,548","55,626,500,000",12/25/2020,2/14/2017,2/14/2027,,Ngân hàng Phát triển,0%,,,NA,,," 2,070,410,959 ", -   ,"Tuesday, February 14, 2023"
B0694,Trái phiếu đặc biệt VAMC,VND,"21,062,500,000","21,062,500,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ," 7,983,263,889 ","Wednesday, November 30, 2022"
B0695,Trái phiếu đặc biệt VAMC,VND,"22,107,500,000","22,107,500,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ," 4,812,888,889 ","Friday, December 30, 2022"
B0697,Trái phiếu đặc biệt VAMC,VND,"13,328,000,000","13,328,000,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ," 2,460,972,222 ","Friday, December 30, 2022"
B0698,Trái phiếu đặc biệt VAMC,VND,"6,815,000,000","6,815,000,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ," 7,605,902,778 ","Wednesday, November 30, 2022"
B0700,Trái phiếu đặc biệt VAMC,VND,"383,867,500,000","383,867,500,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ," 138,618,819,445 ","Friday, December 30, 2022"
B0703,Trái phiếu đặc biệt VAMC,VND,"190,000,000,000","190,000,000,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ," 96,850,325,000 ","Wednesday, November 30, 2022"
B0704,Trái phiếu đặc biệt VAMC,VND,"377,157,515,625","377,157,515,625",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ," 68,611,111,111 ","Wednesday, November 30, 2022"
B0705,Trái phiếu đặc biệt VAMC,VND,"163,860,900,000","163,860,900,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ," 83,210,613,281 ","Wednesday, November 30, 2022"
B0706,Trái phiếu đặc biệt VAMC,VND,"104,340,000,000","104,340,000,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ," 52,985,156,250 ","Wednesday, November 30, 2022"
B0755,Trái phiếu đặc biệt VAMC,VND,"18,986,488,184","18,986,488,184",,4/26/2021,4/26/2021,4/26/2026,,VAMC,20%,,,NA,,, -   ," 3,797,297,637 ","Wednesday, April 26, 2023"
B0756,Trái phiếu đặc biệt VAMC,VND,"54,847,349,539","54,847,349,539",,4/26/2021,4/26/2021,4/26/2026,,VAMC,20%,,,NA,,,0," 10,969,469,908 ","Wednesday, April 26, 2023"
,Chứng khoán vốn,VND,"16,500,000,000","23,545,500,000",,10/1/2011,,,,Công ty cổ phần,150%,,,NA,,,," 5,480,209,791 ",
,Chứng khoán vốn,VND,"52,629,810,000","52,629,810,000",,4/22/2010,,,,Ngân hàng,100%,Moody's,B3,NA,,,, -   ,
,Chứng khoán vốn,VND,"50,738,820,000","50,738,820,000",,10/15/2010,,,,Ngân hàng,100%,Moody's,B3,NA,,,, -   ,
,Chứng khoán vốn,VND,"1,179,080,000","1,061,172,000",,12/12/2012,,,,Công ty cổ phần,150%,,,NA,,,," 1,061,172,000 ",
,Chứng khoán vốn,VND,"983,320,000","776,134,476",,8/30/2013,,,,Công ty cổ phần,150%,,,NA,,,," 776,134,476 ",
,Chứng khoán vốn,VND,"18,001,190,000","14,382,950,810",,12/12/2012,,,,Công ty cổ phần,150%,,,NA,,,," 14,382,950,810 ",
,Chứng khoán vốn,VND,"630,000,000","851,193,000",,3/8/2012,,,,Công ty cổ phần,150%,,,NA,,,, -   ,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
